Marca temporal,Sexo,Fecha de nacimiento,Universidad,Area de estudio,¿Cón quien vive?,¿Cuál es el genero de musica que escuchas?,¿Cuál fue el motivo por el que empezó a escuchar ese genero? ,Escucha música cuando va en un medio de transporte?,Donde prefiere escuchar música?,¿Cuánto tiempo en horas dedicas para escuchar tu musica?,"Cuando escuchas una canción, consideras que  ver su videoclip influye en tu opinion sobre ella?",¿Para tí es mas importante el contenido de la canción o el ritmo?,¿Cuando escucha música?,¿La música que escuchas influye en tu forma de hablar?,Su relación con amigos depende de la clase música que ellos escuchan?,Eliges un lugar para reunirte con amigos por la clase de música que colocan en este?,,,
10/9/2018 19:28:32,Hombre,19/9/1997,Universidad Mayor de San Simón,Economía/Administrativas,Solo,"Rock/Punk/Metal, otro",Amistades,Simpre,Reproductor de celurar (Descargadas en el dispositivo),4,No,Ritmo,En cualquier momento,Si,No,Aveces,,,
10/9/2018 19:30:22,Prefiero no decirlo,24/10/1996,otro,otro,Otro,Pop,Amistades,A veces,Spotify,3,No,Contenido,cuando esta alegre,Si,No,No,,,
10/9/2018 19:39:37,Hombre,12/4/1996,Unifranz,Sociales,Padres,"Pop, Reggaton, Cumbia, Reggae, Electronica, Kpop, otro",Medios de Comunicacion,Simpre,Reproductor de celurar (Descargadas en el dispositivo),4,Si,Ambos,En cualquier momento,No,A veces,Si,,,
10/9/2018 19:40:52,Prefiero no decirlo,9/7/1998,Univalle,Medicina,Solo,"Pop, Baladas, Clasica, Trap, Kpop, otro",Medios de Comunicacion,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,cuando esta solo,No,A veces,Aveces,,,
10/9/2018 19:42:47,Mujer,14/9/1996,Escuela militar de Ingenieria,Tecnológia,Padres,otro,Familiares,A veces,Radio,2,Si,Ambos,En cualquier momento,No,No,No,,,
10/9/2018 19:42:57,Mujer,23/12/1997,Escuela militar de Ingenieria,Tecnológia,Madre,"Pop, Rock/Punk/Metal, Reggaton, Cumbia, Baladas, Electronica, Bachata, otro",Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,En cualquier momento,No,A veces,Aveces,,,
10/9/2018 19:44:26,Mujer,14/11/1996,Escuela militar de Ingenieria,Tecnológia,Padres,otro,Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,En cualquier momento,No,No,No,,,
10/9/2018 19:45:35,Mujer,14/11/1996,Escuela militar de Ingenieria,Tecnológia,Padres,otro,Familiares,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,En cualquier momento,Si,No,No,,,
10/9/2018 19:45:35,Hombre,18/1/1996,Católica,Humanidades,Solo,"Pop, Baladas, Reggae, Folklorica, otro",Familiares,A veces,Radio,2,Si,Ambos,En cualquier momento,No,A veces,Aveces,,,
10/9/2018 19:47:48,Mujer,14/11/1996,Escuela militar de Ingenieria,Tecnológia,Padres,otro,Amistades,A veces,Radio,3,No,Ambos,En cualquier momento,No,No,No,,,
10/9/2018 19:48:52,Hombre,23/4/1998,Universidad Mayor de San Simón,Sociales,Padres,"Pop, Reggaton, Cumbia, Reggae, Electronica, Trap, otro",Familiares,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,No,Ambos,cuando esta triste/deprimido,No,A veces,Aveces,,,
10/9/2018 19:50:58,Hombre,9/2/1996,Universidad Mayor de San Simón,Economía/Administrativas,Padres,"Pop, Cumbia, Reggae, Electronica, Trap, Folklorica, otro",Familiares,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,cuando esta triste/deprimido,No,A veces,Aveces,,,
10/9/2018 19:57:04,Mujer,5/11/1997,Simón I. Patiño,Ciencias de la tierra,Solo,"Rock/Punk/Metal, Reggae, otro",Curiosidad,Simpre,YouTube,5,No,Contenido,cuando no tiene nada mas que hacer,No,A veces,No,,,
10/9/2018 20:00:41,Mujer,9/9/1997,Escuela militar de Ingenieria,Economía/Administrativas,Padres,"Católica/Cristania, otro",Medios de Comunicacion,A veces,Reproductor de celurar (Descargadas en el dispositivo),3,Si,Contenido,En cualquier momento,No,No,No,,,
10/9/2018 20:01:41,Mujer,5/3/1998,Universidad Mayor de San Simón,Economía/Administrativas,Padres,"Pop, Cumbia, Reggae, Trap, Bachata, Folklorica, otro",Familiares,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,En cualquier momento,No,A veces,Aveces,,,
10/9/2018 20:03:47,Hombre,6/11/1994,Universidad Mayor de San Simón,Humanidades,Padres,"Pop, Reggaton, Cumbia, Baladas, Electronica, Clasica, Bachata, Folklorica",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),4,No,Ambos,En cualquier momento,No,No,Aveces,,,
10/9/2018 20:04:49,Mujer,21/9/1995,Universidad Mayor de San Simón,Economía/Administrativas,Padres,Rock/Punk/Metal,Amistades,Simpre,Reproductor de celurar (Descargadas en el dispositivo),4,Si,Ambos,En cualquier momento,No,A veces,Aveces,,,
10/9/2018 20:07:00,Hombre,17/4/1999,Escuela militar de Ingenieria,Tecnológia,Padres,"Pop, Cumbia, Baladas, Reggae, Kpop, Bachata",Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,En cualquier momento,No,No,Aveces,,,
10/9/2018 20:08:00,Hombre,21/11/1993,otro,Tecnológia,Solo,"Rock/Punk/Metal, Reggaton, Baladas, Bachata, otro",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,En cualquier momento,No,No,No,,,
10/9/2018 20:08:08,Mujer,21/9/1997,Unifranz,Humanidades,Padres,"Kpop, otro",Medios de Comunicacion,A veces,Spotify,3,Si,Ambos,En cualquier momento,No,No,No,,,
10/9/2018 20:11:21,Mujer,9/5/1997,Universidad Mayor de San Simón,Medicina,Padres,Clasica,Medios de Comunicacion,A veces,Radio,3,No,Ambos,En cualquier momento,Si,No,No,,,
10/9/2018 20:12:33,Mujer,21/11/1996,Universidad Mayor de San Simón,Economía/Administrativas,Padres,"Kpop, otro",Amistades,Simpre,YouTube,3,No,Ambos,En cualquier momento,Si,A veces,Aveces,,,
10/9/2018 20:12:37,Mujer,23/4/1998,Universidad Mayor de San Simón,Ciencias de la tierra,Padres,"Reggaton, Electronica, Trap, Bachata, otro",Familiares,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ambos,cuando esta triste/deprimido,No,A veces,Aveces,,,
10/9/2018 20:13:08,Hombre,14/1/1998,UPAL,Quimicas,Padre,"Cumbia, Reggae, otro",Amistades,A veces,Spotify,3,Si,Ambos,cuando no tiene nada mas que hacer,No,No,Si,,,
10/9/2018 20:16:30,Mujer,14/9/1996,Universidad Mayor de San Simón,Medicina,Padres,Católica/Cristania,Amistades,A veces,YouTube,3,Si,Contenido,En cualquier momento,No,Sí,Si,,,
10/9/2018 20:17:16,Mujer,9/9/1997,Unifranz,Medicina,Solo,otro,Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:18:20,Mujer,12/6/1993,UPAL,Sociales,Padre,"Cumbia, Reggae",Familiares,Nunca,SoundCloud,3,No,Ambos,cuando esta solo,No,Sí,No,,,
10/9/2018 20:19:21,Hombre,23/1/1992,Univalle,Educacion,Padre,"Rock/Punk/Metal, Clasica, otro",Medios de Comunicacion,A veces,Amazon Music,3,No,Ritmo,cuando no tiene nada mas que hacer,No,Sí,Aveces,,,
10/9/2018 20:19:47,Mujer,7/7/1997,Universidad Mayor de San Simón,Tecnológia,Padres,"Kpop, Bachata, otro",Familiares,Simpre,Reproductor de celurar (Descargadas en el dispositivo),5,No,Ambos,En cualquier momento,No,No,Aveces,,,
10/9/2018 20:21:25,Hombre,8/9/1997,Univalle,Humanidades,Madre,"Reggaton, Reggae, Kpop, otro",Familiares,A veces,SoundCloud,4,No,Ritmo,cuando no tiene nada mas que hacer,No,No,No,,,
10/9/2018 20:24:10,Prefiero no decirlo,9/11/1995,Universidad Mayor de San Simón,Quimicas,Madre,"Reggaton, Reggae, Kpop, otro",Amistades,Nunca,YouTube,4,No,Contenido,cuando esta alegre,No,A veces,Si,,,
10/9/2018 20:26:15,Mujer,19/9/1997,UPB,Tecnológia,Otro,"Reggaton, Cumbia, Baladas, Reggae, otro",Amistades,A veces,YouTube,5,No,Ambos,cuando no tiene nada mas que hacer,No,A veces,Si,,,
10/9/2018 20:27:28,Hombre,20/3/1998,Escuela militar de Ingenieria,Tecnológia,Solo,"Baladas, Reggae, otro",Medios de Comunicacion,A veces,Amazon Music,5,No,Ambos,cuando no tiene nada mas que hacer,No,A veces,Si,,,
10/9/2018 20:27:40,Hombre,12/9/1997,Unifranz,Medicina,Solo,"Reggae, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:28:28,Hombre,8/8/1997,Escuela militar de Ingenieria,Tecnológia,Madre,"Reggae, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:29:05,Hombre,25/10/1997,Simón I. Patiño,Economía/Administrativas,Madre,"Indie, Reggae, Kpop, otro",Familiares,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:29:37,Hombre,9/9/1997,Unifranz,Economía/Administrativas,Padre,"Rock/Punk/Metal, Baladas, Reggae, otro",Curiosidad,Simpre,Paginas de internet gratis,3,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:31:43,Hombre,14/11/1997,Universidad Mayor de San Simón,Medicina,Padre,"Baladas, Reggae, Clasica, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,No,Si,,,
10/9/2018 20:31:56,Prefiero no decirlo,16/4/1999,Universidad Mayor de San Simón,Economía/Administrativas,Madre,"Reggaton, Trap, Bachata",Familiares,A veces,Deezer,5,No,Ambos,cuando esta solo,No,A veces,Aveces,,,
10/9/2018 20:32:10,Prefiero no decirlo,9/9/1997,Católica,Humanidades,Padres,"Rock/Punk/Metal, Reggae, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:33:08,Hombre,9/9/1997,Católica,Educacion,Solo,"Reggae, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:33:19,Prefiero no decirlo,22/6/1997,Univalle,Medicina,Madre,"Cumbia, Reggae",Familiares,A veces,SoundCloud,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:33:26,Hombre,9/9/1997,Simón I. Patiño,Ciencias de la tierra,Solo,"Reggae, otro",Curiosidad,Simpre,Amazon Music,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:34:25,Hombre,19/12/1996,Universidad Mayor de San Simón,Humanidades,Padres,"Pop, Cumbia, Reggae, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando no tiene nada mas que hacer,No,A veces,Aveces,,,
10/9/2018 20:34:31,Hombre,21/11/1996,Simón I. Patiño,Tecnológia,Padres,"Cumbia, Baladas, Reggae, otro",Medios de Comunicacion,Nunca,Spotify,1,No,Ritmo,cuando no tiene nada mas que hacer,Si,No,No,,,
10/9/2018 20:35:53,Prefiero no decirlo,10/4/1996,Católica,Tecnológia,Madre,"Rock/Punk/Metal, Reggae, Trap, otro",Amistades,A veces,Deezer,5,No,Ambos,En cualquier momento,No,Sí,Aveces,,,
10/9/2018 20:36:15,Hombre,13/9/1997,UPB,Medicina,Padres,"Rock/Punk/Metal, Baladas, Reggae, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,En cualquier momento,No,A veces,Si,,,
10/9/2018 20:37:10,Hombre,18/4/1997,Escuela militar de Ingenieria,Tecnológia,Otro,"Cumbia, Reggae, otro",Amistades,Nunca,YouTube,5,No,Ambos,cuando no tiene nada mas que hacer,Si,Sí,No,,,
10/9/2018 20:37:18,Hombre,4/9/1997,Universidad Mayor de San Simón,Medicina,Solo,"Pop, Baladas, Reggae, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:38:36,Prefiero no decirlo,10/1/1996,Universidad Mayor de San Simón,Quimicas,Padres,"Reggae, otro",Amistades,A veces,Paginas de internet gratis,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:39:51,Prefiero no decirlo,16/10/1997,Universidad Mayor de San Simón,Biologías,Solo,"Pop, Reggaton, Reggae, otro",Medios de Comunicacion,A veces,Paginas de internet gratis,5,No,Ambos,cuando esta solo,No,A veces,Si,,,
10/9/2018 20:41:22,Mujer,28/12/1997,Católica,Tecnológia,Padres,"Reggaton, Reggae, Bachata, otro",Curiosidad,Simpre,SoundCloud,5,No,Ambos,cuando no tiene nada mas que hacer,No,A veces,Si,,,
10/9/2018 20:41:36,Mujer,9/9/1997,Unifranz,Medicina,Solo,otro,Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,No,No,,,
10/9/2018 20:42:27,Mujer,11/2/1998,Universidad Mayor de San Simón,Educacion,Padre,"Rock/Punk/Metal, Reggaton, Reggae, otro",Amistades,Simpre,YouTube,5,Si,Ambos,cuando esta triste/deprimido,Si,Sí,Aveces,,,
10/9/2018 20:42:45,Mujer,17/10/1995,Unifranz,Economía/Administrativas,Padres,Electronica,Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),3,No,Ambos,En cualquier momento,No,A veces,Aveces,,,
10/9/2018 20:43:22,Hombre,23/9/1997,UPB,Economía/Administrativas,Padres,"Rock/Punk/Metal, Cumbia, Reggae, otro",Familiares,A veces,SoundCloud,1,No,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:44:43,Hombre,27/8/1997,UPAL,Quimicas,Padres,"Baladas, Reggae, Trap, otro",Medios de Comunicacion,A veces,Paginas de internet gratis,5,Si,Ritmo,cuando esta solo,No,A veces,Aveces,,,
10/9/2018 20:45:45,Prefiero no decirlo,17/4/1998,Universidad Mayor de San Simón,Humanidades,Madre,"Reggae, Bachata, otro",Curiosidad,A veces,SoundCloud,3,No,Ambos,cuando no tiene nada mas que hacer,No,No,Aveces,,,
10/9/2018 20:46:20,Prefiero no decirlo,17/6/1998,Universidad Mayor de San Simón,Economía/Administrativas,Solo,"Indie, otro",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),3,No,Ritmo,cuando no tiene nada mas que hacer,No,A veces,Si,,,
10/9/2018 20:47:05,Prefiero no decirlo,17/6/1998,Escuela militar de Ingenieria,Tecnológia,Madre,"Pop, Indie, Reggae, otro",Familiares,A veces,Reproductor de celurar (Descargadas en el dispositivo),5,No,Ritmo,cuando esta solo,Si,A veces,Si,,,
10/9/2018 20:47:53,Prefiero no decirlo,14/2/1998,Escuela militar de Ingenieria,Tecnológia,Padre,"Reggaton, Reggae, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:48:27,Hombre,9/9/1997,Católica,otro,Padre,"Cumbia, Reggae, otro",Familiares,A veces,SoundCloud,5,No,Ambos,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:49:37,Mujer,9/9/1995,Escuela militar de Ingenieria,Ciencias de la producción,Padres,Rock/Punk/Metal,Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),3,No,Ambos,En cualquier momento,No,A veces,Aveces,,,
10/9/2018 20:49:53,Hombre,21/8/1998,Católica,Medicina,Solo,"Reggaton, Baladas, Reggae, otro",Familiares,A veces,Paginas de internet gratis,5,Si,Contenido,cuando no tiene nada mas que hacer,No,A veces,No,,,
10/9/2018 20:50:40,Prefiero no decirlo,26/12/1998,Universidad Mayor de San Simón,Medicina,Madre,"Reggaton, Reggae, Folklorica, otro",Medios de Comunicacion,Simpre,Deezer,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,No,,,
10/9/2018 20:51:54,Hombre,17/4/1997,Escuela militar de Ingenieria,Tecnológia,Padres,"Cumbia, Reggae, otro",Amistades,A veces,SoundCloud,5,No,Ritmo,En cualquier momento,No,A veces,Si,,,
10/9/2018 20:52:36,Prefiero no decirlo,21/9/1996,Universidad Mayor de San Simón,Quimicas,Solo,"Reggae, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:53:40,Hombre,9/9/1997,Unifranz,Medicina,Solo,"Reggae, otro",Curiosidad,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:54:32,Hombre,12/3/1997,Universidad Mayor de San Simón,Humanidades,Solo,"Reggaton, Cumbia, Baladas, Indie, Reggae, otro",Curiosidad,Simpre,YouTube,5,No,Ambos,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 20:56:19,Prefiero no decirlo,18/9/1997,Universidad Mayor de San Simón,otro,Padre,"Reggae, Kpop, Bachata, otro",Amistades,A veces,Spotify,1,Si,Ritmo,cuando esta triste/deprimido,Si,A veces,Si,,,
10/9/2018 20:57:13,Mujer,11/2/1995,Escuela militar de Ingenieria,Tecnológia,Solo,Pop,Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),3,Si,Contenido,cuando esta triste/deprimido,No,No,No,,,
10/9/2018 20:59:25,Hombre,14/9/2000,Universidad Mayor de San Simón,Biologías,Padres,"Pop, Cumbia, Indie",Familiares,A veces,Spotify,5,No,Ambos,cuando no tiene nada mas que hacer,No,Sí,No,,,
10/9/2018 21:00:27,Prefiero no decirlo,30/6/1997,Universidad Mayor de San Simón,Quimicas,Otro,"Rock/Punk/Metal, Reggae, otro",Curiosidad,Simpre,SoundCloud,5,No,Ambos,En cualquier momento,No,A veces,Si,,,
10/9/2018 21:03:22,Mujer,9/5/1999,Univalle,Medicina,Padres,Kpop,Amistades,A veces,Radio,3,Si,Ambos,En cualquier momento,No,No,No,,,
10/9/2018 21:06:38,Mujer,9/4/1997,Escuela militar de Ingenieria,Tecnológia,Padres,"Pop, otro",Amistades,A veces,Paginas de internet gratis,3,Si,Contenido,En cualquier momento,No,Sí,Si,,,
10/9/2018 21:09:04,Mujer,4/12/1998,otro,Ciencias de la producción,Solo,Folklorica,Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),4,Si,Ritmo,cuando esta alegre,No,No,No,,,
10/9/2018 21:59:17,Mujer,9/9/1995,Universidad Mayor de San Simón,Ciencias de la tierra,Padres,"Baladas, otro",Medios de Comunicacion,A veces,Reproductor de celurar (Descargadas en el dispositivo),4,Si,Contenido,cuando esta triste/deprimido,No,A veces,Aveces,,,
10/9/2018 22:20:32,Hombre,16/5/1996,Escuela militar de Ingenieria,Tecnológia,Solo,"Rock/Punk/Metal, Clasica, Bachata, Folklorica, otro",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),5,Si,Contenido,En cualquier momento,Si,No,No,,,
10/9/2018 22:22:27,Mujer,20/9/1997,Universidad Mayor de San Simón,Medicina,Padres,"Pop, Rock/Punk/Metal, Reggaton, Cumbia, Baladas, otro",Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Ritmo,cuando esta solo,Si,Sí,Si,,,
10/9/2018 22:25:25,Prefiero no decirlo,5/1/1995,UPAL,Educacion,Otro,"Electronica, Clasica, Trap, Kpop, Bachata, otro",Amistades,Simpre,Spotify,5,Si,Contenido,cuando esta triste/deprimido,No,A veces,Si,,,
10/9/2018 22:33:56,Hombre,12/10/2000,Universidad Mayor de San Simón,Economía/Administrativas,Padre,"Rock/Punk/Metal, Reggaton, Electronica, Folklorica, otro",Amistades,Simpre,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Contenido,cuando esta triste/deprimido,Si,No,No,,,
10/9/2018 22:35:27,Hombre,23/9/2018,Simón I. Patiño,Economía/Administrativas,Madre,"Pop, Electronica, otro",Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,No,Contenido,cuando esta triste/deprimido,Si,Sí,Aveces,,,
10/9/2018 22:35:54,Mujer,20/5/1996,Escuela militar de Ingenieria,Ciencias de la producción,Padres,"Reggaton, Cumbia, Baladas, Bachata",Medios de Comunicacion,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,Si,Ritmo,En cualquier momento,Si,A veces,Si,,,
10/9/2018 22:36:18,Mujer,23/5/1996,Católica,Ciencias de la tierra,Padres,"Pop, Electronica, Clasica, Kpop, otro",Medios de Comunicacion,Nunca,Radio,3,Si,Ambos,En cualquier momento,No,No,No,,,
10/9/2018 22:37:12,Prefiero no decirlo,12/9/2018,Católica,Tecnológia,Padres,"Pop, Cumbia, Electronica, Clasica, Folklorica, otro",Amistades,A veces,Spotify,3,No,Ambos,cuando no tiene nada mas que hacer,Si,No,Si,,,
10/9/2018 22:59:39,Mujer,12/4/2018,Univalle,Economía/Administrativas,Padres,"Pop, Reggaton, Baladas, Kpop, otro",Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ritmo,cuando esta solo,No,No,No,,,
10/9/2018 23:00:43,Mujer,15/5/1995,Católica,Humanidades,Padres,"Pop, Baladas, Clasica, Folklorica, Católica/Cristania, otro",Medios de Comunicacion,A veces,Paginas de internet gratis,3,Si,Contenido,cuando esta alegre,Si,Sí,Si,,,
10/9/2018 23:08:22,Mujer,9/10/1994,Unifranz,Economía/Administrativas,Padres,Bachata,Amistades,A veces,Radio,3,Si,Ambos,En cualquier momento,Si,No,No,,,
10/9/2018 23:32:17,Hombre,3/5/1993,otro,Tecnológia,Padres,"Pop, otro",Amistades,Nunca,YouTube,1,No,Contenido,En cualquier momento,No,No,No,,,
10/9/2018 23:45:57,Mujer,14/9/1998,Simón I. Patiño,Ciencias de la tierra,Madre,"Pop, Cumbia, Electronica, Clasica, Trap, Bachata, Folklorica, Católica/Cristania, otro",Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Ritmo,En cualquier momento,Si,Sí,Si,,,
10/9/2018 23:48:19,Hombre,13/8/1992,Unifranz,Tecnológia,Padres,"Pop, Rock/Punk/Metal",Medios de Comunicacion,Simpre,Reproductor de celurar (Descargadas en el dispositivo),3,Si,Ambos,cuando esta triste/deprimido,Si,Sí,Si,,,
10/9/2018 23:49:12,Hombre,13/9/1997,Católica,Humanidades,Madre,"Pop, Cumbia, Baladas, Indie, Electronica, Clasica, Folklorica",Amistades,A veces,Spotify,2,Si,Ritmo,cuando no tiene nada mas que hacer,Si,No,No,,,
10/9/2018 23:54:41,Mujer,5/6/1997,Católica,Tecnológia,Solo,"Pop, Rock/Punk/Metal, Clasica, Católica/Cristania, otro",Medios de Comunicacion,A veces,YouTube,1,Si,Ritmo,cuando esta alegre,Si,Sí,Aveces,,,
10/9/2018 23:55:41,Prefiero no decirlo,24/10/1998,Universidad Mayor de San Simón,Economía/Administrativas,Padres,"Reggaton, Cumbia, Reggae, Trap, Kpop, Bachata, Folklorica",Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Ritmo,cuando no tiene nada mas que hacer,Si,Sí,Si,,,
10/9/2018 23:56:54,Hombre,12/2/1997,Universidad Mayor de San Simón,Humanidades,Solo,"Reggaton, Baladas, Reggae, Electronica, Clasica, Bachata, Folklorica, otro",Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,Si,Ritmo,En cualquier momento,Si,Sí,Si,,,
10/9/2018 23:57:43,Mujer,15/8/1995,UPB,Tecnológia,Padres,"Pop, Indie, Electronica, Kpop, otro",Amistades,Simpre,Spotify,2,Si,Ritmo,En cualquier momento,No,A veces,Aveces,,,
10/9/2018 23:58:52,Mujer,3/6/1997,Católica,Economía/Administrativas,Padres,"Pop, Electronica, Kpop, otro",Medios de Comunicacion,Simpre,Deezer,3,Si,Ritmo,cuando no tiene nada mas que hacer,Si,No,No,,,
10/9/2018 23:59:39,Hombre,14/9/1995,otro,Ciencias de la tierra,Padres,"Rock/Punk/Metal, Reggaton, Cumbia, Baladas, Indie",Amistades,Simpre,Radio,1,Si,Ritmo,cuando esta alegre,Si,Sí,Si,,,
11/9/2018 0:00:28,Mujer,12/7/1997,Escuela militar de Ingenieria,Tecnológia,Solo,otro,Curiosidad,Simpre,Spotify,3,Si,Ambos,cuando esta alegre,No,A veces,Aveces,,,
11/9/2018 0:00:29,Prefiero no decirlo,1/3/1998,Unifranz,Biologías,Solo,"Pop, Indie, Reggae, Electronica",Amistades,Simpre,Spotify,2,Si,Ritmo,cuando no tiene nada mas que hacer,No,Sí,Si,,,
11/9/2018 0:01:14,Hombre,12/9/1998,Escuela militar de Ingenieria,Tecnológia,Padres,"Pop, Baladas, Indie, Electronica, Bachata",Amistades,A veces,YouTube,1,Si,Ritmo,cuando esta solo,Si,Sí,Si,,,
11/9/2018 0:02:52,Hombre,13/9/1996,Universidad Mayor de San Simón,Medicina,Padre,"Pop, Reggaton, Indie, Reggae, Electronica, Clasica, Trap, Kpop, Bachata, Folklorica, Católica/Cristania",Amistades,Simpre,Reproductor de celurar (Descargadas en el dispositivo),1,No,Ambos,En cualquier momento,Si,Sí,Si,,,
11/9/2018 0:04:41,Hombre,13/8/1998,Universidad Mayor de San Simón,Medicina,Padres,Pop,Amistades,Simpre,Radio,3,Si,Contenido,cuando no tiene nada mas que hacer,Si,Sí,Aveces,,,
11/9/2018 0:05:21,Mujer,14/9/1997,Católica,Tecnológia,Padres,"Pop, Indie, Reggae, Electronica, Clasica, Trap",Curiosidad,A veces,Deezer,4,Si,Ambos,En cualquier momento,Si,No,No,,,
11/9/2018 0:06:28,Mujer,14/8/1996,Universidad Mayor de San Simón,Tecnológia,Padres,"Pop, Reggae, Folklorica",Amistades,Simpre,YouTube,3,Si,Ambos,En cualquier momento,Si,Sí,Si,,,
11/9/2018 0:07:12,Mujer,12/8/1997,Universidad Mayor de San Simón,Medicina,Padres,otro,Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,No,Ambos,cuando no tiene nada mas que hacer,Si,A veces,Aveces,,,
11/9/2018 0:07:59,Mujer,3/4/1996,Universidad Mayor de San Simón,Medicina,Padres,"Pop, Bachata, otro",Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,No,Ambos,cuando esta solo,No,No,Si,,,
11/9/2018 0:08:44,Prefiero no decirlo,12/6/1995,Universidad Mayor de San Simón,Ciencias de la producción,Solo,"Indie, Reggae, Electronica, Clasica",Amistades,A veces,Spotify,1,Si,Ritmo,En cualquier momento,Si,No,Aveces,,,
11/9/2018 0:09:54,Prefiero no decirlo,13/7/1995,Católica,Humanidades,Padres,"Pop, Rock/Punk/Metal, Reggaton, Cumbia, Baladas",Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,No,Ritmo,cuando no tiene nada mas que hacer,Si,Sí,Si,,,
11/9/2018 0:10:36,Mujer,12/9/1995,otro,Humanidades,Otro,otro,Medios de Comunicacion,Simpre,Reproductor de celurar (Descargadas en el dispositivo),1,Si,Ritmo,cuando esta solo,Si,Sí,Si,,,
11/9/2018 0:11:33,Mujer,14/6/1996,Universidad Mayor de San Simón,Medicina,Padres,"Clasica, Kpop, Bachata, Folklorica, otro",Amistades,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Ritmo,En cualquier momento,Si,Sí,Si,,,
11/9/2018 0:12:18,Hombre,2/9/1995,Universidad Mayor de San Simón,Medicina,Padres,"Cumbia, Baladas, Indie, Kpop, Bachata",Amistades,Simpre,Reproductor de celurar (Descargadas en el dispositivo),1,Si,Ritmo,cuando esta solo,Si,Sí,Si,,,
