Marca temporal,Sexo,Fecha de nacimiento,Universidad,Area de estudio,¿Cón quien vive?,¿Cuál es el genero de musica que escuchas?,¿Cuál fue el motivo por el que empezó a escuchar ese genero? ,Escucha música cuando va en un medio de transporte?,Donde prefiere escuchar música?,¿Cuánto tiempo en horas dedicas para escuchar tu musica?,"Cuando escuchas una canción, consideras que  ver su videoclip influye en tu opinion sobre ella?",¿Para tí es mas importante el contenido de la canción o el ritmo?,¿Cuando escucha música?,¿La música que escuchas influye en tu forma de hablar?,Su relación con amigos depende de la clase música que ellos escuchan?,Eliges un lugar para reunirte con amigos por la clase de música que colocan en este?,,,
25/8/2018 11:39:30,Hombre,16/5/2000,Escuela militar de Ingenieria,Tecnológia,Otro,"Pop, Rock/Punk/Metal, Reggaton, Electronica, Trap",Medios de Comunicacion,Simpre,Reproductor de celurar (Descargadas en el dispositivo),5,Si,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 11:46:47,Mujer,26/11/1999,Escuela militar de Ingenieria,Quimicas,Padres,Reggaton,Medios de Comunicacion,Simpre,Deezer,5,No,Ambos,En cualquier momento,Si,A veces,No,,,
25/8/2018 12:00:32,Mujer,9/8/1999,Escuela militar de Ingenieria,Tecnológia,Padres,"Pop, Rock/Punk/Metal, Kpop, Folklorica",Amistades,A veces,YouTube,5,Si,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 12:08:56,Hombre,5/12/2000,Escuela militar de Ingenieria,Ciencias de la tierra,Padres,Clasica,Familiares,A veces,YouTube,3,Si,Ritmo,En cualquier momento,No,No,No,,,
25/8/2018 12:46:48,Mujer,25/8/2018,Escuela militar de Ingenieria,Tecnológia,Padres,Electronica,Curiosidad,A veces,Reproductor de celurar (Descargadas en el dispositivo),1,Si,Contenido,En cualquier momento,Si,Sí,No,,,
25/8/2018 12:47:51,Hombre,25/8/2018,Unifranz,Tecnológia,Padres,"Rock/Punk/Metal, Electronica, Clasica",Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),5,No,Ambos,En cualquier momento,Si,No,No,,,
25/8/2018 12:55:49,Hombre,25/8/2018,Escuela militar de Ingenieria,Ciencias de la tierra,Padres,Rock/Punk/Metal,Curiosidad,Simpre,Reproductor de celurar (Descargadas en el dispositivo),5,No,Ambos,En cualquier momento,Si,A veces,No,,,
25/8/2018 12:56:45,Hombre,3/7/2000,Escuela militar de Ingenieria,Tecnológia,Padres,Rock/Punk/Metal,Curiosidad,Nunca,Reproductor de celurar (Descargadas en el dispositivo),1,No,Contenido,cuando no tiene nada mas que hacer,No,No,No,,,
25/8/2018 13:00:31,Mujer,10/6/1999,Escuela militar de Ingenieria,Tecnológia,Madre,Bachata,Medios de Comunicacion,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Ambos,cuando no tiene nada mas que hacer,Si,No,No,,,
25/8/2018 13:02:21,Hombre,20/10/1999,Universidad Mayor de San Simón,otro,Padres,Cumbia,Medios de Comunicacion,Simpre,Spotify,3,Si,Ambos,En cualquier momento,Si,No,No,,,
25/8/2018 13:05:21,Mujer,12/6/2000,Escuela militar de Ingenieria,Ciencias de la producción,Madre,Pop,Medios de Comunicacion,A veces,Spotify,2,No,Ambos,En cualquier momento,No,No,No,,,
25/8/2018 13:15:34,Mujer,22/12/2018,Escuela militar de Ingenieria,Tecnológia,Madre,Cumbia,Medios de Comunicacion,A veces,Reproductor de celurar (Descargadas en el dispositivo),2,Si,Ambos,En cualquier momento,No,No,No,,,
